"ID_REF"	"GSM710733"	"GSM710735"	"GSM710737"
"LINC01653"	3.89010726073134	4.43390383061124	4.26623465749765
"LINC01654"	3.66776625105226	3.69114910468979	4.17737733307637
"LINC01656"	4.75258031521725	5.18969141021703	5.20394321689441
"LINC01657"	3.98807018166243	4.06157910415715	4.06218519219304
"LINC01664"	6.0743685617447	5.82071600077879	6.28910707701227
"LINC01676"	4.59280375292992	4.07382065648306	4.21840684505749
"LINC01677"	3.72930880931957	3.49899441838978	4.04468920324337
"LINC01679"	5.92675565648295	5.32255326753779	5.73972591671493
"LINC01686"	4.87497386242803	4.22267520182148	4.8288847699194
"LINC01687"	3.39046479486164	3.45543512176171	3.59440320046003
"LINC01689"	2.9875398523171	3.05661493018332	3.20422358435031
"LINC01692"	3.09667655129075	3.00192723910437	3.02453861943649
"LINC01694"	3.34090154421932	3.14266796319714	3.18677484522817
"LINC01697"	4.69340567154749	4.07359271338862	4.01780707969755
"LINC01700"	5.68723098122639	5.30720166653574	5.94707946537587
"LINC01703"	5.42161741535189	5.33921918591913	5.82476222497709
"LINC01704"	4.56828697045641	4.30259633967349	4.35082664131878
"LINC01711"	5.20964640755985	4.87659228234987	5.40148002384947
"LINC01718"	6.21936711048188	5.93433947052269	6.3210202126225
"LINC01720"	3.16802152186116	2.89285319562222	2.92907914748883
"LINC01722"	3.39566412766469	3.09853873405113	3.2617545083796
"LINC01723"	5.29636274431074	5.20012644739679	5.49866510349819
"LINC01725"	2.87723003585365	2.94854969246962	3.31590571725827
"LINC01730"	4.35763044140637	4.23444260133841	4.57524805379798
"LINC01731"	5.48197142214148	5.32266781610247	5.24697625929697
"LINC01732"	5.4305146238751	5.13957105107096	5.20499999660677
"LINC01734"	4.09084082126525	3.64673791271009	3.96593789354372
"LINC01735"	3.45826350443377	3.56357757298581	3.53771897972382
"LINC01737"	4.57420935877677	3.9706215767371	4.5816100176655
"LINC01741"	5.34633939486939	5.24464599612166	5.0442393410693
"LINC01743"	5.95352644052886	5.60577491780975	6.17650644894675
"LINC01750"	3.95596305794091	3.78742953145674	3.79887420899256
"LINC01751"	5.21104365364812	4.6409625021982	5.46562547743876
"LINC01753"	3.79603798816808	3.62718009855593	4.54911057736776
"LINC01756"	5.79492746076363	5.5579669691991	5.68363091935055
"LINC01763"	4.76885669182165	4.6421780579799	5.34804543674426
"LINC01770"	6.15048271531848	6.09223763701622	6.44003365686679
"LINC01775"	5.94205602653793	5.67238153453096	6.50296504932755
"LINC01777"	3.61688896917411	3.50041838129999	3.81549598651603
"LINC01782"	5.04747896897867	4.29432206210219	5.16082677663404
"LINC01788"	3.71365413008921	3.43911724516764	3.72241282636403
"LINC01792"	3.52738173341622	3.56328203290823	3.45425624031745
"LINC01798"	3.62134411004071	3.35142390158942	3.64881715869032
"LINC01799"	3.3236350273731	3.06987851314401	3.6295109535519
